Resource, Speed
devices/amst-asw1/interfaces/jsrv.1, 1000
devices/amst-asw1/interfaces/pfe-0%2F0%2F0, 800
devices/amst-asw1/interfaces/pfh-0%2F0%2F0, 800
devices/amst-asw1/interfaces/irb.0, 1000
devices/amst-asw1/interfaces/ae10, 10000
devices/amst-asw1/interfaces/ae10.0, 10000
devices/amst-asw1/interfaces/irb.909, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F0.0, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F1, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F1.0, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F2, 100
devices/amst-asw1/interfaces/ge-0%2F0%2F2.0, 100
devices/amst-asw1/interfaces/xe-0%2F0%2F32, 10000
devices/amst-asw1/interfaces/xe-0%2F0%2F32.0, 10000
devices/amst-asw1/interfaces/ge-0%2F0%2F3, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F3.0, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F5.0, 100
devices/amst-asw1/interfaces/ge-0%2F0%2F6.0, 100
devices/amst-asw1/interfaces/ge-0%2F0%2F7.0, 100
devices/amst-asw1/interfaces/ge-0%2F0%2F8.0, 100
devices/amst-asw1/interfaces/ge-0%2F0%2F10.0, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F12.0, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F9.0, 1000
devices/amst-asw1/interfaces/ge-0%2F0%2F11.0, 1000
devices/amst-cr5/interfaces/to_amst-owamp, 10000
devices/amst-cr5/interfaces/3%2F1%2F1, 100000
devices/amst-cr5/interfaces/to_netherlight_surfnet_v4v6, 100000
devices/amst-cr5/interfaces/lag-10, 10000
devices/amst-cr5/interfaces/to_netherlight_nordunet_v4v6, 100000
devices/amst-cr5/interfaces/5%2F1%2F1, 100000
devices/amst-cr5/interfaces/to_bost-cr5_ip-b, 100000
devices/amst-cr5/interfaces/to_ams-ix, 10000
devices/amst-cr5/interfaces/10%2F1%2F1, 10000
devices/amst-cr5/interfaces/10%2F1%2F2, 10000
devices/amst-cr5/interfaces/10%2F1%2F3, 10000
devices/amst-cr5/interfaces/10%2F1%2F4, 10000
devices/amst-cr5/interfaces/10%2F1%2F5, 10000
devices/amst-cr5/interfaces/10%2F1%2F6, 10000
devices/amst-cr5/interfaces/10%2F2%2F1, 10000
devices/amst-cr5/interfaces/10%2F2%2F2, 10000
devices/amst-cr5/interfaces/10%2F2%2F3, 10000
devices/amst-cr5/interfaces/10%2F2%2F4, 10000
devices/amst-cr5/interfaces/10%2F2%2F5, 10000
devices/amst-cr5/interfaces/10%2F2%2F6, 10000
devices/amst-cr5/interfaces/1%2F1%2F1, 100000
devices/amst-cr5/interfaces/A%2F1, 100
devices/amst-cr5/interfaces/1%2F2%2F1, 100000
devices/amst-cr5/interfaces/to_geant_v4, 100000
devices/amst-cr5/interfaces/B%2F1, 100
devices/amst-cr5/interfaces/to_geant_v6, 100000
devices/amst-cr5/interfaces/to_lond-cr5_ip-a, 100000
devices/amst-cr5/interfaces/2%2F1%2F1, 100000
devices/amst-cr5/interfaces/to_amst-pt1_v4, 10000
devices/amst-cr5/interfaces/to_amst-pt1_v6, 10000
devices/amst-cr5/interfaces/to_cern-513-cr5_ip-a, 100000
devices/anl-asw1/interfaces/vme.0, 1000
devices/anl-asw1/interfaces/gr-0%2F0%2F0, 800
devices/anl-asw1/interfaces/jsrv.1, 1000
devices/anl-asw1/interfaces/pfe-0%2F0%2F0, 800
devices/anl-asw1/interfaces/pfh-0%2F0%2F0, 800
